recipe_id,recipe_name,recipe_description,recipe_nutriscore,recipe_ingredients,recipe_reproduction_steps
12302,Chana Masala (curry de pois chiches) et chutney poires-fruit de la passion,Venez avec nous découvrir ce curry de pois chiches enrichi de nombreuses épices et d'un chutney étonnant qui allie poire et fruits de la passion !,A,"Curcuma - Sur les Quais (6g), 1, ingredient-12302-2-10358
Fruit de la passion, 1, ingredient-12302-2-9912
Gingembre, 1 à 3 cm, ingredient-12302-2-11057
Gousse d'ail, 1, ingredient-12302-2-9932
Oignon jaune, 1, ingredient-12302-2-14030
Piment chipotle (pincée), 1, ingredient-12302-2-14808
Poire, 2, ingredient-12302-2-13514
Pois chiches BIO conserve - Markal (240g égoutté), 120 g, ingredient-12302-2-201
Pulpe de tomates, 200 g, ingredient-12302-2-14769
Riz basmati BIO - Markal (150g - 2 personnes), 150 g, ingredient-12302-2-15284
Épices Cachemire (sachet), 0.5, ingredient-12302-2-15221","Step 1: Coupez le fruit de la passion en 2 et récupérez la chair. 
Coupez les poires en petits dés. 
Dans une casserole, faites fondre une noix de beurre à feu moyen. 
Faites revenir les poires, le fruit de la passion et la moitié du curcuma 3 min. 
Déglacez (versez) avec le vinaigre et poursuivez la cuisson à couvert à feu doux 30 min.
Astuce : Ajoutez de l'eau pendant la cuisson si nécessaire. 
En parallèle, préparez le riz et le chana massala.
Step 2: Portez à ébullition une seconde casserole d'eau salée. 
Faites cuire le riz selon les indications du paquet. 
Step 3: Ciselez (dés) l'oignon. 
Pelez et hachez finement l'ail et le gingembre. 
Dans une cocotte, faites fondre une noix de beurre à feu moyen. 
Faites revenir l'oignon, l'ail et le gingembre 5 min. Remuez régulièrement.
Ajoutez la pulpe de tomates et poursuivez la cuisson 5 min. Salez, poivrez.
Au bout des 5 min de cuissons, ajoutez les épices Cachemire, le reste de curcuma, le piment Chipotle, les pois chiches, l'eau et poursuivez la cuisson 5 à 10 min à petits bouillons. 
Le piment chipotle est fort, n'en mettez qu'une petite quantité pour commencer et ajustez selon votre goût.
Goûtez et rectifiez l'assaisonnement si nécessaire.
Step 4: Servez sans attendre votre chana massala accompagné du riz et du chutney de poires et fruit de la passion !"
12618,"Tartare de saumon fumé, betterave et pomme",Ce plat de bistrot est fait pour vous : un tartare de saumon assaisonné avec du citron et de l'échalote et accompagné de pommes de terre sautées !,A,"Betterave cuite sachet 500g, 200 g, ingredient-12618-2-11362
Carotte, 1, ingredient-12618-2-8763
Citron jaune, 0.5, ingredient-12618-2-9729
Fromage blanc, 100 g, ingredient-12618-2-15978
Pomme, 0.5, ingredient-12618-2-13271
Pomme de terre, 2, ingredient-12618-2-10029
Pousses d'épinards, 50 g, ingredient-12618-2-11245
Saumon fumé, 100 g, ingredient-12618-2-15567
Échalote ronde, 0.5, ingredient-12618-2-9318","Step 1: Épluchez et coupez les pommes de terre en dés.
Dans une sauteuse, faites chauffer un filet d'huile d'olive à feu vif.
Faites revenir les pommes de terre 5 min à feu vif.
Baissez sur feu moyen et poursuivez la cuisson 15 min à couvert.
Remuez régulièrement pendant la cuisson. Salez, poivrez.
Pendant ce temps, préparez le tartare.
Step 2: Dans un bol, mélangez les ingrédients suivants :
A l’aide d’une râpe, prélevez les zestes de citron (uniquement l’écorce de couleur) et pressez-le.
Coupez la pomme, la betterave et le saumon fumé en petits dés.
Ciselez (dés) l'échalote. 
Ajoutez le fromage blanc. Salez, poivrez et mélangez. 
Goûtez et rectifiez l’assaisonnement si nécessaire. 
Répartissez la préparation dans des verrines ou des bols individuels et réservez au frais. 
Step 3: Dans un saladier, déposez les ingrédients suivants : 
Versez l'huile d'olive et le vinaigre. Salez, poivrez et mélangez bien pour obtenir une vinaigrette. 
A l'aide d'un économe, réalisez des tagliatelles de carotte. 
Ajoutez le mélange de salade et mélangez. 
Step 4: Dégustez votre tartare de saumon fumé, betterave et pomme bien frais accompagné des pommes de terre sautées et de la salade ! "
12624,"Beignets à la patate douce et morbier, sauce blanche au persil",Succombez à nos beignets de patate douce et morbier et leur sauce blanche au persil. Une fusion de saveurs audacieuse à savourer sans modération !,A,"Endive, 2, ingredient-12624-2-17304
Farine de blé, 100 g, ingredient-12624-2-3143
Fromage blanc, 100 g, ingredient-12624-2-15978
Gousse d'ail, 1, ingredient-12624-2-9932
Morbier AOP au lait cru de vache, 120 g, ingredient-12624-2-7668
Mâche, 50 g, ingredient-12624-2-11246
Noix sèche, 40 g, ingredient-12624-2-17364
Oignon jaune, 1, ingredient-12624-2-14030
Patate douce, 1, ingredient-12624-2-16664
Persil plat, qq brins, ingredient-12624-2-7458","Step 1: Épluchez et coupez la patate douce en dés.
Déposez-la dans une casserole et recouvrez-la très largement d'eau. Salez.
Faites-la cuire 15 min environ. Egouttez et réduisez-la en purée.
En parallèle, préparez la pâte à beignets.
Step 2: Dans un saladier, déposez les ingrédients suivants : 
Ciselez (dés) l'oignon. 
Pressez ou hachez l'ail. 
Coupez le morbier en dés.
Effeuillez et ciselez le persil (gardez-en un peu pour la sauce).
Ajoutez la farine, l'oeuf et la purée de patate douce. Salez, poivrez. Mélangez bien.
Dans une sauteuse, faites chauffer un bon fond d'huile de cuisson à feu moyen à vif. 
Déposez des cuillères à soupe de pâte et faites dorer 3 à 5 min de chaque côté jusqu'à ce que les beignets soient dorés.
Une fois cuits, déposez-les sur une assiette munie de papier absorbant. Salez. 
Pendant ce temps, préparez la sauce et la salade.
Step 3: Dans un bol, mélangez le fromage blanc et le reste de persil. Salez, poivrez. 
Goûtez et rectifiez l'assaisonnement si nécessaire.
Dans un saladier, déposez les ingrédients suivants : 
Versez l'huile et le vinaigre. Salez, poivrez et mélangez bien pour obtenir une vinaigrette. 
Ouvrez et hachez grossièrement les noix. 
Retirez la base des endives. Coupez-les en 2 et retirez les parties centrales dures. Emincez-les.
Ajoutez la mâche et mélangez bien. 
Goûtez et rectifiez l'assaisonnement si nécessaire.
Step 4: Dégustez sans attendre vos beignets à la patate douce et morbier nappés de sauce ! Accompagnez-les de la salade. "
12638,Coquillettes à l'escalope de dinde et pesto de pistaches,Testez ce pesto de pistaches pour sublimer vos coquillettes. Il se mariera à merveille avec notre dinde française !,A,"Coquillettes demi-complètes, 200 g, ingredient-12638-2-7741
Escalope de dinde, 2, ingredient-12638-2-8761
Gousse d'ail, 1, ingredient-12638-2-9932
Parmigiano reggiano râpé, 20 g, ingredient-12638-2-15938
Persil plat, 0.5, ingredient-12638-2-7458
Pistaches décortiquées crues, 25 g, ingredient-12638-2-13336
Épinard branche, 100 g, ingredient-12638-2-8537","Step 1: Portez à ébullition une casserole d’eau salée.
Faites cuire les coquillettes selon les indications du paquet.
En parallèle, préparez le pesto et faites cuire les escalopes de dinde.
Step 2: Dans le bol d'un mixeur, déposez les ingrédients suivants :
Pelez l'ail. 
Ajoutez le persil (gardez-en un peu pour le dressage), le parmesan, les pistaches et l'huile d'olive. Salez, poivrez.
Mixez jusqu'à obtenir une texture homogène. 
Astuce : Ajoutez un peu d'eau pour un pesto plus liquide.
Goûtez et rectifiez l'assaisonnement si nécessaire.
Step 3: Coupez la base des épinards (sur 2 cm environ).
Coupez les escalopes de dinde en lanières.
Dans une sauteuse, faites chauffer un filet d'huile d'olive à feu moyen à vif.
Faire revenir les lanières de dinde 1 min pour les dorer.
Ensuite, ajoutez les épinards et poursuivez la cuisson 5 min environ jusqu'à ce que le tout soit cuit (la chair des escalopes n'est plus rose).
Une fois le tout cuit, ajoutez les coquillettes et le pesto à la sauteuse. Mélangez bien.
Ciselez le reste de persil.
Step 4: Dégustez sans attendre vos coquillettes à l'escalope de dinde et pesto de pistaches parsemées du reste de persil !"
12447,"Poulet à l'ananas et épices chimichurri, arroz con coco (riz à la noix de coco)",Succombez pour ce plat sucré/salé de poulet français à l'ananas relevé aux épices chimichurri ! Une explosion de saveurs exotiques en bouche.,C,"Ananas extrasweet, 0.5, ingredient-12447-2-16280
Haut de cuisse de poulet, 225 g, ingredient-12447-2-7533
Lait de coco BIO - Racine (200mL), 100 mL, ingredient-12447-2-5209
Mélange Chimichurri - Sur Les Quais (6g), 0.5, ingredient-12447-2-15206
Noix de coco râpée (sachet), 25 g, ingredient-12447-2-13351
Oignon jaune, 1, ingredient-12447-2-16171
Riz basmati BIO - Markal (150g - 2 personnes), 150 g, ingredient-12447-2-15284","Step 1: Préchauffez votre four à 200°C en chaleur tournante ! 
Pendant ce temps, coupez l'ananas en morceaux. 
Émincez l'oignon. 
Déposez les hauts de cuisses, l'ananas et l'oignon dans un plat allant au four. 
Versez un filet d'huile d'olive et les épices chimichurri. Salez et mélangez bien pour tout enrober. 
Enfournez 25 min environ. 
Pendant ce temps, préparez l'arroz con coco. 
Step 2: Dans une casserole, déposez le lait de coco, la noix de coco râpée, l'eau, le sucre et le riz.
Faites cuire selon les indications du paquet du riz.
Ajoutez un peu d'eau si nécessaire pendant la cuisson.
Goûtez et rectifiez l'assaisonnement si nécessaire.
Step 3: Servez sans attendre votre poulet à l'ananas et épices chimichurri accompagné de l'arroz con coco ! "
12578,Quiche jurassienne au morbier et poireaux,"Goûtez à l'authenticité avec notre quiche jurassienne : morbier fondant, poireaux tendres, une symphonie de saveurs à chaque bouchée. Irrésistible !",B,"Crème épaisse, 30 mL, ingredient-12578-2-12393
Morbier AOP au lait cru de vache, 90 g, ingredient-12578-2-7667
Mâche, 50, ingredient-12578-2-11347
Poireau, 2, ingredient-12578-2-10818
Pâte brisée ronde - Croustipate (230g), 1, ingredient-12578-2-11334","Step 1: Astuce : Pour éviter que votre pâte ne se réchauffe, sortez-la au dernier moment !
Préchauffez votre four à 180°C en chaleur tournante !
Pendant ce temps, coupez et retirez la base abîmée des poireaux. Incisez-les en deux dans la longueur et rincez-les soigneusement. Émincez-les.
Dans une sauteuse, faites chauffer un filet d'huile d'olive à feu moyen à vif.
Faites revenir les poireaux 10 min environ. Remuez de temps en temps. Salez, poivrez.
En parallèle, préparez la quiche.
Step 2: Coupez le morbier en tranches.
Dans un bol, fouettez les oeufs et la crème. Salez, poivrez.
Dans un moule à tarte, déroulez la pâte brisée et piquez-la à l'aide d'une fourchette.
Ajoutez quelques tranches de morbier et les poireaux cuits.
Versez l'appareil à oeuf et déposez le reste des tranches de morbier par-dessus.
Enfournez 25 min environ.
Pendant ce temps, assaisonnez la mâche d'un filet d'huile d'olive et de vinaigre.
Step 3: Servez sans attendre votre quiche jurassienne au morbier et poireaux accompagnée de la salade !"
12383,Poulet sauce aux noix (spécialité de Géorgie),"La sauce aux noix ou ""Bazhe"" est une sauce veloutée aux noix et parfumée à la coriandre qui se marie parfaitement avec notre poulet français !",A,"Coriandre (botte), 0.5, ingredient-12383-2-9206
Cuisse de poulet, 2, ingredient-12383-2-14563
Gousse d'ail, 1, ingredient-12383-2-9932
Noix sèche (avec coques), 200 g, ingredient-12383-2-6722
Oignon jaune, 1, ingredient-12383-2-14030
Paprika - Sur les quais (8g), 0.5, ingredient-12383-2-8659
Poireau, 1, ingredient-12383-2-10818
Riz basmati BIO - Markal (150g - 2 personnes), 150 g, ingredient-12383-2-15284","Step 1: Préchauffez votre four à 220°C en chaleur tournante ! 
Pendant ce temps, déposez les cuisses de poulet sur une plaque allant au four. Versez un filet d'huile d'olive. Salez, poivrez et mélangez bien pour tout enrober. 
Enfournez 40 min jusqu'à ce qu'elles soient cuites (la chair n'est plus rose). Tournez-les à mi-cuisson.
Pendant ce temps, préparez le poireau, le riz et la sauce. 
Step 2: Coupez et retirez la base abîmée du poireau. Incisez-le en deux dans la longueur et rincez-le soigneusement. Émincez-le.
Émincez l'oignon.
Dans une sauteuse, faites chauffer un filet d'huile d'olive à feu moyen à vif. 
Faites revenir le poireau et l'oignon 15 min environ. Salez, poivrez. Remuez régulièrement.
Step 3: Portez à ébullition une casserole d'eau salée. 
Faites cuire le riz selon les indications du paquet. 
Une fois cuit, ajoutez-le à la sauteuse du poireau et mélangez bien. 
Step 4: Portez l'eau à ébullition. 
Ouvrez les noix. 
Pelez l'ail. 
Dans le bol d'un mixeur, mixez les noix avec l'eau bouillante et le bouillon de boeuf.  
Ajoutez l'ail, quelques brins de coriandre (en entier, la tige se consomme), le paprika et le vinaigre. Salez.
Mixez à nouveau jusqu'à obtenir une sauce épaisse et homogène. 
Avant de servir, faites chauffer la sauce 1 à 2 min dans une casserole. 
Step 5: Dégustez sans attendre votre cuisse de poulet rôtie nappée de sauce aux noix et accompagnée de riz au poireau !"
12365,Soupe de quinoa à l'avocat et cheddar râpé,"Cette recette équatorienne va vous faire fondre ! L'association du cheddar, du quinoa et de l'avocat mettra tout le monde d'accord.",A,"Avocat, 1, ingredient-12365-2-10473
Carotte, 1, ingredient-12365-2-8763
Cheddar râpé, 60 g, ingredient-12365-2-16363
Coriandre, 0.5, ingredient-12365-2-6573
Cumin - Sur les Quais (8g), 0.5, ingredient-12365-2-3926
Gousse d'ail, 1, ingredient-12365-2-9932
Oignon jaune, 1, ingredient-12365-2-16171
Pomme de terre, 1, ingredient-12365-2-10029
Pulpe de tomates, 100 g, ingredient-12365-2-14769
Quinoa blanc, 150 g, ingredient-12365-2-17323","Step 1: Emincez l'oignon. 
Epluchez et coupez la pomme de terre en morceaux. 
Pressez ou hachez l'ail.
Epluchez et coupez la carotte en fines demi-rondelles. 
Dans une cocotte, faites chauffer un filet d'huile de cuisson à feu moyen à vif. 
Faites revenir l'oignon et le cumin 5 min. 
Au bout des 5 min, ajoutez la pomme de terre, l'ail, la carotte, la pulpe de tomate, le quinoa, l'eau et le bouillon de légumes. Salez, poivrez et mélangez bien.
Portez à ébullition et laissez mijoter à couvert 15 à 20 min jusqu'à ce que le tout soit cuit.
Ajoutez de l'eau et rectifiez l’assaisonnement si nécessaire. 
Step 2: Coupez l'avocat en fines lamelles.
Une fois la soupe cuite, répartissez-la dans des bols ou des assiettes creuses. 
Déposez l'avocat par-dessus.
Ciselez la coriandre (en entier, les tiges se consomment). 
Step 3: Dégustez sans attendre votre soupe de quinoa à l'avocat parsemée de coriandre et de cheddar râpé !"
12221,"Chipolatas aux oignons, grenailles au parmesan et potimarron rôti","Savourez nos chipolatas aux oignons, grenailles au parmesan et potimarron rôti. Un festin de saveurs rustiques qui réchauffe le cœur à chaque bouchée.",A,"Chipolata oignon herbes, 4, ingredient-12221-2-9049
Fromage blanc, 100 g, ingredient-12221-2-15978
Gousse d'ail, 1, ingredient-12221-2-9932
Oignon rouge, 0.25, ingredient-12221-2-16467
Parmigiano reggiano râpé, 20 g, ingredient-12221-2-15938
Persil plat, 0.5, ingredient-12221-2-7458
Pomme de terre grenaille, 400 g, ingredient-12221-2-11519
Potimarron, 200 g, ingredient-12221-2-12441","Step 1: Préchauffez votre four à 200°C en chaleur tournante !
Pendant ce temps, coupez les pommes de terre grenaille en 2 dans la longueur. 
Pressez ou hachez l'ail.
Dans un bol, mélangez le parmesan, l'ail et l'huile d'olive.
Badigeonnez le fond d'un plat allant au four avec la préparation. 
Déposez les pommes de terre côté coupé vers le fond. 
Enfournez 20 à 25 min jusqu'à ce que les grenailles soient tendres et que le parmesan forme une croûte dorée. 
Pendant ce temps, préparez le potimarron. 
Step 2: Astuce : Pour qu'elle soit plus facile à découper, passez la courge 5 min au micro-ondes à pleine puissance. Ensuite, manipulez-la avec un torchon pour ne pas vous brûler.
Coupez prudemment le potimarron en 2 (il n'est pas nécessaire de l'éplucher, la peau, une fois cuite, devient tendre). Retirez les graines à l'aide d'une cuillère. Coupez-le en tranches puis taillez celles-ci en dés.
Déposez-les sur une plaque allant au four. Versez un filet d'huile d'olive, salez et poivrez. Mélangez bien pour tout enrober.
Enfournez 15 à 20 min. 
En parallèle, faites cuire les chipolatas et préparez la sauce. 
Step 3: Dans une sauteuse, faites chauffer un filet d'huile d'olive à feu moyen à vif. 
Faites revenir les chipolatas 10 min environ. 
En parallèle, effeuillez et ciselez le persil. 
Ciselez (dés) l'oignon rouge.
Mélangez le fromage blanc, l'oignon rouge et le persil (gardez-en un peu pour le dressage). Salez, poivrez. 
Goûtez et rectifiez l'assaisonnement si nécessaire.
Step 4: Dégustez sans attendre vos chipolatas aux oignons accompagnées des grenailles au parmesan et du potimarron rôti ! Accompagnez le tout de la sauce au persil."
12367,Filet de poulet sauce aux fruits de la passion et purée de carotte-navet au gingembre,"Savourez l'exotisme avec notre filet de poulet français, nappé d'une sauce fruit de la passion. Un délice tropical !",A,"Carotte, 3, ingredient-12367-2-17298
Citron vert, 0.5, ingredient-12367-2-14613
Filet de poulet, 2, ingredient-12367-2-9523
Fruit de la passion (1 pièce - env. 50g), 2, ingredient-12367-2-14740
Gingembre, 1 à 3 cm, ingredient-12367-2-14624
Navet rond, 2, ingredient-12367-2-13476","Step 1: Épluchez et coupez les carottes et les navets en morceaux. 
Épluchez et hachez le gingembre. 
Dans une casserole, faites chauffer un filet d'huile d'olive à feu moyen à vif. 
Faites revenir les légumes et le gingembre 3 min. 
Au bout des 3 min, ajoutez de l'eau à hauteur de la garniture et portez à ébullition. 
Faites cuire 20 min environ.
Égouttez et mixez le tout jusqu'à obtenir une purée lisse. Salez, poivrez.
Ajoutez une noix de beurre et un filet de lait pour une purée plus onctueuse.
Goûtez et rectifiez l'assaisonnement si nécessaire.
En parallèle, préparez la sauce.
Step 2: Pressez le jus de citron vert. 
Coupez les fruits de la passion en 2 et récupérez la chair.
Dans une petite casserole, faites chauffer les fruits de la passion, le jus de citron, l'eau et le bouillon de poule.
Faites réduire la sauce 5 à 10 min. Salez, poivrez.
Goûtez et rectifiez l'assaisonnement si nécessaire.
En parallèle, faites cuire les filets de poulet.
Step 3: Dans une poêle, faites chauffer un filet d'huile d'olive à feu moyen à vif. 
Faire revenir les filets de poulet 5 à 8 min sur chaque face jusqu'à ce qu'ils soient cuits à coeur (la chair n'est plus rose). Salez, poivrez.
En fin de cuisson, déglacez (versez) la sauce dans la poêle et faites-la réduire jusqu'à ce qu'elle soit nappante.
Step 4: Dégustez sans attendre votre filet de poulet nappé de sauce au fruit de la passion accompagné de la purée de carotte-navet au gingembre ! "
